date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-05-26,30.13,30.96,29.92,30.9,29.23,3846300,3846300,0.77,2.56,30.4775,"May 26, 23",0.0256,,,,,
2023-05-25,30.09,30.42,29.82,30,28.38,14822706,14822706,-0.09,-0.2991,30.0825,"May 25, 23",-0.002991,,,,,
2023-05-24,30.36,30.51,29.97,30.06,28.43,4868130,4868130,-0.3,-0.98814,30.225,"May 24, 23",-0.0098814,,,,,
2023-05-23,30.41,31.33,30.3,30.67,29.01,5687100,5687100,0.26,0.85498,30.6775,"May 23, 23",0.0085498,,,,,
2023-05-22,30.2,30.4,29.81,30.35,28.71,5073293,5073293,0.15,0.49669,30.19,"May 22, 23",0.0049669,,,,,
2023-05-19,30.19,30.22,29.59,30.02,28.4,9911924,9911924,-0.17,-0.5631,30.005,"May 19, 23",-0.005631,,,,,
2023-05-18,28.87,30.06,28.77,30,28.38,8524600,8524600,1.13,3.91,29.425,"May 18, 23",0.0391,,,,,
2023-05-17,28.3,28.77,27.92,28.76,27.2,7632150,7632150,0.46,1.63,28.4375,"May 17, 23",0.0163,,,,,
2023-05-16,27.94,28.47,27.71,27.88,26.37,12246849,12246849,-0.06,-0.21475,28,"May 16, 23",-0.0021475,,,,,
2023-05-15,27.32,28.03,27.23,27.97,26.46,8338507,8338507,0.65,2.38,27.6375,"May 15, 23",0.0238,,,,,
2023-05-12,27.67,27.83,26.94,27.08,25.61,7193461,7193461,-0.59,-2.13,27.38,"May 12, 23",-0.0213,,,,,
2023-05-11,26.81,27.43,26.67,27.41,25.93,8030946,8030946,0.6,2.24,27.08,"May 11, 23",0.0224,,,,,
2023-05-10,27.92,28.06,26.8,27.12,25.65,5265000,5265000,-0.8,-2.87,27.475,"May 10, 23",-0.0287,,,,,
2023-05-09,27.03,27.7,26.89,27.46,25.97,4518685,4518685,0.43,1.59,27.27,"May 09, 23",0.0159,,,,,
2023-05-08,27.52,27.68,27.25,27.4,25.92,4361800,4361800,-0.12,-0.43605,27.4625,"May 08, 23",-0.0043605,,,,,
2023-05-05,27.48,27.87,27.06,27.34,25.86,7007905,7007905,-0.14,-0.50946,27.4375,"May 05, 23",-0.0050946,,,,,
2023-05-04,27.36,27.6,26.59,26.76,25.31,6983238,6983238,-0.6,-2.19,27.0775,"May 04, 23",-0.0219,,,,,
2023-05-03,27.7,28.3,27.58,27.71,26.21,6160400,6160400,0.01,0.03610108,27.8225,"May 03, 23",0.0003610108,,,,,
2023-05-02,28.61,28.75,27.24,27.54,26.05,5972905,5972905,-1.07,-3.74,28.035,"May 02, 23",-0.0374,,,,,
2023-05-01,29.36,29.62,28.84,28.87,27.31,6150400,6150400,-0.49,-1.67,29.1725,"May 01, 23",-0.0167,2023-05-02,0.23,2023-04-20,2023-05-12,0.23
